DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2017,866541,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2018,825736,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2019,804821,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2020,642399,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2021,775946,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2022,1943445,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2011,52833,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2012,54409,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2013,60312,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2014,68388,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2015,78492,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2016,74383,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2017,68579,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2018,64669,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2019,61384,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2020,57230,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2021,63489,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2022,121183,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2011,3709,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EE,2012,2639,,
